trial_num,trial_type,looking_time_s,lab,subid,stimulus
2,ADS,5.448,Kizito - Uganda,IDS_013,ADS_1
3,IDS,2.807,Kizito - Uganda,IDS_013,IDS_2
4,ADS,1.467,Kizito - Uganda,IDS_013,ADS_2
5,ADS,9.607,Kizito - Uganda,IDS_013,ADS_3
6,IDS,2.619,Kizito - Uganda,IDS_013,IDS_3
7,IDS,6.612,Kizito - Uganda,IDS_013,IDS_4
8,ADS,8.922,Kizito - Uganda,IDS_013,ADS_4
9,ADS,2.285,Kizito - Uganda,IDS_013,ADS_5
10,IDS,5.679,Kizito - Uganda,IDS_013,IDS_5
11,ADS,10.552,Kizito - Uganda,IDS_013,ADS_6
12,IDS,5.149,Kizito - Uganda,IDS_013,IDS_6
13,IDS,6.946,Kizito - Uganda,IDS_013,IDS_7
14,ADS,0.783,Kizito - Uganda,IDS_013,ADS_7
-2,training,9.233,Kizito - Uganda,IDS_015,training
-1,training,5.83,Kizito - Uganda,IDS_015,training
1,IDS,10.179,Kizito - Uganda,IDS_015,IDS_1
2,ADS,4.058,Kizito - Uganda,IDS_015,ADS_1
3,IDS,2.003,Kizito - Uganda,IDS_015,IDS_2
4,ADS,1.117,Kizito - Uganda,IDS_015,ADS_2
5,ADS,4.614,Kizito - Uganda,IDS_015,ADS_3
6,IDS,3.821,Kizito - Uganda,IDS_015,IDS_3
7,IDS,5.333,Kizito - Uganda,IDS_015,IDS_4
8,ADS,6.881,Kizito - Uganda,IDS_015,ADS_4
9,ADS,3.931,Kizito - Uganda,IDS_015,ADS_5
10,IDS,4.858,Kizito - Uganda,IDS_015,IDS_5
11,ADS,2.591,Kizito - Uganda,IDS_015,ADS_6
12,IDS,1.804,Kizito - Uganda,IDS_015,IDS_6
13,IDS,8.251,Kizito - Uganda,IDS_015,IDS_7
14,ADS,4.979,Kizito - Uganda,IDS_015,ADS_7
-2,training,15.036,Kizito - Uganda,IDS_016,training
-1,training,15.595,Kizito - Uganda,IDS_016,training
1,IDS,13.715,Kizito - Uganda,IDS_016,IDS_1
2,ADS,6.099,Kizito - Uganda,IDS_016,ADS_1
3,IDS,9.153,Kizito - Uganda,IDS_016,IDS_2
4,ADS,12.739,Kizito - Uganda,IDS_016,ADS_2
5,ADS,8.936,Kizito - Uganda,IDS_016,ADS_3
6,IDS,7.676,Kizito - Uganda,IDS_016,IDS_3
7,IDS,4.694,Kizito - Uganda,IDS_016,IDS_4
8,ADS,14.722,Kizito - Uganda,IDS_016,ADS_4
9,ADS,15.053,Kizito - Uganda,IDS_016,ADS_5
10,IDS,16.21,Kizito - Uganda,IDS_016,IDS_5
11,ADS,3.708,Kizito - Uganda,IDS_016,ADS_6
12,IDS,17.357,Kizito - Uganda,IDS_016,IDS_6
13,IDS,13.145,Kizito - Uganda,IDS_016,IDS_7
14,ADS,4.466,Kizito - Uganda,IDS_016,ADS_7
-2,training,5.127,Kizito - Uganda,IDS_017,training
-1,training,2.641,Kizito - Uganda,IDS_017,training
1,IDS,7.968,Kizito - Uganda,IDS_017,IDS_1
2,ADS,5.588,Kizito - Uganda,IDS_017,ADS_1
3,IDS,9.522,Kizito - Uganda,IDS_017,IDS_2
-2,training,13.288,Kizito - Uganda,IDS_018,training
-1,training,8.237,Kizito - Uganda,IDS_018,training
1,IDS,16.122,Kizito - Uganda,IDS_018,IDS_1
2,ADS,9.859,Kizito - Uganda,IDS_018,ADS_1
3,IDS,9.433,Kizito - Uganda,IDS_018,IDS_2
4,ADS,4.388,Kizito - Uganda,IDS_018,ADS_2
5,ADS,4.064,Kizito - Uganda,IDS_018,ADS_3
6,IDS,12.733,Kizito - Uganda,IDS_018,IDS_3
7,IDS,13.311,Kizito - Uganda,IDS_018,IDS_4
8,ADS,8.237,Kizito - Uganda,IDS_018,ADS_4
9,ADS,2.308,Kizito - Uganda,IDS_018,ADS_5
10,IDS,9.794,Kizito - Uganda,IDS_018,IDS_5
11,ADS,2.84,Kizito - Uganda,IDS_018,ADS_6
12,IDS,5.942,Kizito - Uganda,IDS_018,IDS_6
13,IDS,6.758,Kizito - Uganda,IDS_018,IDS_7
14,ADS,6.25,Kizito - Uganda,IDS_018,ADS_7
15,ADS,0.169,Kizito - Uganda,IDS_018,ADS_8
-2,training,12.075,Kizito - Uganda,IDS_019,training
-1,training,13.866,Kizito - Uganda,IDS_019,training
