trial_num,trial_type,looking_time_s,lab,subid,stimulus
2,ADS,5.12,Kizito - Uganda,IDS_039,ADS_2
3,ADS,2.843,Kizito - Uganda,IDS_039,ADS_3
4,ADS,2.669,Kizito - Uganda,IDS_039,ADS_4
5,ADS,7.514,Kizito - Uganda,IDS_039,ADS_5
-2,training,12.028,Kizito - Uganda,IDS_041,training
-1,training,12.999,Kizito - Uganda,IDS_041,training
1,ADS,5.874,Kizito - Uganda,IDS_041,ADS_1
2,ADS,6.786,Kizito - Uganda,IDS_041,ADS_2
3,ADS,9.75,Kizito - Uganda,IDS_041,ADS_3
4,ADS,3.074,Kizito - Uganda,IDS_041,ADS_4
5,ADS,4.81,Kizito - Uganda,IDS_041,ADS_5
6,ADS,5.487,Kizito - Uganda,IDS_041,ADS_6
7,ADS,2.098,Kizito - Uganda,IDS_041,ADS_7
8,ADS,3.002,Kizito - Uganda,IDS_041,ADS_8
9,IDS,2.693,Kizito - Uganda,IDS_041,IDS_1
10,IDS,2.009,Kizito - Uganda,IDS_041,IDS_2
11,IDS,3.029,Kizito - Uganda,IDS_041,IDS_3
12,IDS,7.614,Kizito - Uganda,IDS_041,IDS_4
13,IDS,3.825,Kizito - Uganda,IDS_041,IDS_5
14,IDS,0.941,Kizito - Uganda,IDS_041,IDS_6
-2,training,3.532,Kizito - Uganda,IDS_042,training
-1,training,2.719,Kizito - Uganda,IDS_042,training
1,ADS,4.639,Kizito - Uganda,IDS_042,ADS_1
-2,training,4.404,Kizito - Uganda,IDS_043,training
-1,training,11.068,Kizito - Uganda,IDS_043,training
1,ADS,13.734,Kizito - Uganda,IDS_043,ADS_1
2,ADS,11.705,Kizito - Uganda,IDS_043,ADS_2
3,ADS,8.079,Kizito - Uganda,IDS_043,ADS_3
4,ADS,16.614,Kizito - Uganda,IDS_043,ADS_4
5,ADS,7.48,Kizito - Uganda,IDS_043,ADS_5
6,ADS,7.952,Kizito - Uganda,IDS_043,ADS_6
7,ADS,2.893,Kizito - Uganda,IDS_043,ADS_7
8,ADS,3.43,Kizito - Uganda,IDS_043,ADS_8
9,IDS,4.026,Kizito - Uganda,IDS_043,IDS_1
-2,training,14.997,Kizito - Uganda,IDS_044,training
-1,training,15.743,Kizito - Uganda,IDS_044,training
1,ADS,15.198,Kizito - Uganda,IDS_044,ADS_1
2,ADS,7.04,Kizito - Uganda,IDS_044,ADS_2
3,ADS,15.915,Kizito - Uganda,IDS_044,ADS_3
4,ADS,13.23,Kizito - Uganda,IDS_044,ADS_4
5,ADS,15.38,Kizito - Uganda,IDS_044,ADS_5
6,ADS,11.102,Kizito - Uganda,IDS_044,ADS_6
7,ADS,7.725,Kizito - Uganda,IDS_044,ADS_7
8,ADS,7.939,Kizito - Uganda,IDS_044,ADS_8
9,IDS,17.802,Kizito - Uganda,IDS_044,IDS_1
10,IDS,15.37,Kizito - Uganda,IDS_044,IDS_2
11,IDS,5.171,Kizito - Uganda,IDS_044,IDS_3
12,IDS,6.437,Kizito - Uganda,IDS_044,IDS_4
13,IDS,15.029,Kizito - Uganda,IDS_044,IDS_5
-2,training,14.556,Kizito - Uganda,IDS_045,training
-1,training,7.875,Kizito - Uganda,IDS_045,training
1,ADS,4.02,Kizito - Uganda,IDS_045,ADS_1
2,ADS,3.516,Kizito - Uganda,IDS_045,ADS_2
3,ADS,7.174,Kizito - Uganda,IDS_045,ADS_3
4,ADS,3.715,Kizito - Uganda,IDS_045,ADS_4
5,ADS,4.375,Kizito - Uganda,IDS_045,ADS_5
6,ADS,3.697,Kizito - Uganda,IDS_045,ADS_6
7,ADS,2.882,Kizito - Uganda,IDS_045,ADS_7
8,ADS,5.499,Kizito - Uganda,IDS_045,ADS_8
9,IDS,4.386,Kizito - Uganda,IDS_045,IDS_1
10,IDS,4.055,Kizito - Uganda,IDS_045,IDS_2
11,IDS,7.197,Kizito - Uganda,IDS_045,IDS_3
12,IDS,4.15,Kizito - Uganda,IDS_045,IDS_4
-2,training,13.699,Kizito - Uganda,IDS_046,training
-1,training,3.739,Kizito - Uganda,IDS_046,training
1,ADS,5.627,Kizito - Uganda,IDS_046,ADS_1
2,ADS,10.632,Kizito - Uganda,IDS_046,ADS_2
3,ADS,2.332,Kizito - Uganda,IDS_046,ADS_3
4,ADS,9.261,Kizito - Uganda,IDS_046,ADS_4
5,ADS,13.518,Kizito - Uganda,IDS_046,ADS_5
6,ADS,13.455,Kizito - Uganda,IDS_046,ADS_6
7,ADS,12.403,Kizito - Uganda,IDS_046,ADS_7
8,ADS,17.117,Kizito - Uganda,IDS_046,ADS_8
