Name,Project,🌍 Country,🏫 Primary Affiliation,🏫 Secondary Affiliation(s),🟢 ORCiD,Conceptualization,Formal analysis,Investigation,Methodology,Project administration,Writing - original draft,Writing - review & editing,LabID,Leadership Role(s),📚 Projects
Laura de Ruiter,MB1,United Kingdom,University of Manchester,,,,,Leading,Leading,,,,,,MB1
Laura E. Hahn,MB1,The Netherlands,Radboud University,,,,,Leading,,,,,babylabNijmegen,,"MB1,MB1N"
Laura K. Cirelli,MB1,Canada,University of Toronto Scarborough,,https://orcid.org/0000-0002-1374-8558,,,Leading,,,,,musdevUTM,,"MB1,MB4"
Laurel J. Trainor,MB1,Canada,McMaster University,,,,,Leading,,,,,trainorlab,,MB1
Lauren H. Howard,MB1,United States,Franklin & Marshall College,,,,,Leading,,,,,earlysocogFM,,"MB1,MB5"
Leher Singh,MB1,United States,University of Maryland,,https://orcid.org/0000-0001-9423-4956,,,Leading,,,,,nusinfantlanguagecentre,MB-Demo Lead,"MB-Demographics,MB1,MB1B,MB1G,MB5"
Linda E. Campbell,MB1,Australia,"""University of Newcastle, Australia""",,https://orcid.org/0000-0002-8872-9626,,,Leading,,,,,cfnUofN,,"MB-AtHome,MB1"
Linda Polka,MB1,Canada,McGill University,,https://orcid.org/0000-0003-4761-9057,,,Leading,,,,,isplabMcgill,,"MB1,MB1B"
Liquan Liu,MB1,Australia,University of Technology Sydney,Western Sydney University,https://orcid.org/0000-0001-8671-5098,,,Leading,,,,,babylabKingswood,,"MB-AtHome,MB1,MB1B,MB1G,MB2,MB4,MB5"
Maartje de Klerk,MB1,The Netherlands,Utrecht University,,https://orcid.org/0000-0002-5466-6196,,,Leading,,,,,,,MB1
Marianna Jarto,MB1,Germany,Universität Hamburg,,https://orcid.org/0000-0001-7700-696X,,,Leading,,,,,kokuHamburg,,"MB1,MB1G"
Markus Paulus,MB1,Germany,Ludwig-Maximilians-Universität München,,https://orcid.org/0000-0003-0446-4956,,,Leading,,,,,babylabLMU,,"MB1,MB1L,MB4,MB5"
Martin Zettersten,MB1,United States,"""University of California, San Diego""",,https://orcid.org/0000-0002-0444-7059,,Leading,Leading,,,,,infantllMadison,"MB1-Meta Lead,MB5 Lead,MB5-Meta Lead","MB-AtHome,MB1,MB1T,MB1-Meta,MB2,MB3,MB3L,MB3P,MB3T,MB3-NIRS,MB5,MB5-Meta"
Matthias Lippold,MB1,Germany,University of Göttingen,,,,Leading,,,,,Leading,wsiGoettingen,,"MB1,MB1T"
Maximilian P. Böhland,MB1,Germany,Technische Universität Dresden,,,,,Leading,,,,,,,MB1
Megan Foley,MB1,United States,Florida State University,,,,,Leading,,,,,,,MB1
Megha Sundara,MB1,United States,"""University of California, Los Angeles""",,https://orcid.org/0000-0003-0028-750X,,,Leading,,,,,langlabUCLA,,"MB-AtHome,MB1,MB1B,MB5"
Meghan Mastroberardino,MB1,Canada,Concordia University,,,,,Leading,Leading,Leading,,,irlConcordia,,"MB1,MB1B"
Melanie S. Schreiner,MB1,Germany,University of Göttingen,,https://orcid.org/0000-0002-1530-8839,,,Leading,,,,,wsiGoettingen,MB1T Lead,"MB-AtHome,MB1,MB1B,MB1T,MB2,MB2P,MB5"
Melanie Soderstrom,MB1,Canada,University of Manitoba,,https://orcid.org/0000-0003-3212-5775,Leading,Leading,Leading,Leading,Leading,Leading,Leading,bllumanitoba,"Governing Board,MB1 Lead,MB1L Lead,MB1N Lead,MB3 Lead,MB5N Lead","MB-Demographics,MB1,MB1B,MB1G,MB1L,MB1N,MB1T,MB1-Meta,MB3,MB4,MB5"
Melissa Kline Struhl,MB1,United States,Massachusetts Institute of Technology,,https://orcid.org/0000-0003-2217-9331,Leading,Leading,,Leading,Leading,Leading,Leading,,"Governing Board,MB1-Demo Lead","MB1,MB3"
Michael C. Frank,MB1,United States,Stanford University,,https://orcid.org/0000-0002-7551-4378,Leading,Leading,,Leading,Leading,Leading,Leading,,"Governing Board,MB1 Lead,MB1-Africa Lead,MB2 Lead","MB-AtHome,MB-Demographics,MB1,MB1-Africa,MB1B,MB1L,MB1T,MB1-Meta,MB2,MB4,MB5,MB6"
Michelle Lee,MB1,United States,"""University of California, San Diego""",,,,,Leading,,,,,madlabUCSD,,MB1
Mihye Choi,MB1,United States,University of Massachusetts Boston,,https://orcid.org/0000-0002-3942-7357,,,Leading,,,,,,,MB1
Mikołaj Hernik,MB1,Norway,UiT The Arctic University of Norway,,https://orcid.org/0000-0001-6745-5163,,,Leading,,,,,cdc-ceu,,"MB1,MB1B,MB1G,MB2"
Miriam A. Novack,MB1,United States,Northwestern University,,https://orcid.org/0000-0003-0522-0371,,,Leading,,,,,,,MB1
Mitsuhiko Ishikawa,MB1,United Kingdom,"""Birkbeck, University of London""",,https://orcid.org/0000-0002-5141-6511,,,Leading,,,,,,,MB1
Mitsuhiko Ota,MB1,United Kingdom,University of Edinburgh,,https://orcid.org/0000-0003-3693-8490,,,Leading,,,,,weescienceEdinburgh,,"MB1,MB1L,MB5"
Mohinish Shukla,MB1,The Netherlands,University of Amsterdam,,https://orcid.org/0000-0002-2806-0174,,,,Leading,,,,babylabUmassb,,"MB1,MB1T,MB3"
Naomi Havron,MB1,Israel,University of Haifa,,https://orcid.org/0000-0001-6429-1546,,,Leading,,,,,lscpPSL,,"MB-AtHome,MB-AtHome-LWL,MB-AtHome-VP,MB-ManyWebcams,MB1,MB1B,MB1L,MB2,MB3,MB4,MB4I,MB5"
Natalia Arias-Trejo,MB1,México,Universidad Nacional Autónoma de México,,https://orcid.org/0000-0002-4169-1616,,,Leading,,,,,labUNAM,,"MB-ManyWebcams,MB1,MB2,MB3"
Natalia Kartushina,MB1,Norway,University of Oslo,,https://orcid.org/0000-0003-4650-5832,,,Leading,,,,,sociocognitivelab,MB1N Lead,"MB1,MB1L,MB1N,MB1T,MB1-Meta,MB2,MB3"
Nayeli Gonzalez-Gomez,MB1,United Kingdom,Oxford Brookes University,,https://orcid.org/0000-0003-2012-8290,,,Leading,Leading,,Leading,,babylabBrookes,,"MB-AtHome,MB1,MB1B,MB1G,MB1L,MB1T,MB2,MB3,MB3L,MB5"
Nivedita Mani,MB1,Germany,University of Göttingen,,https://orcid.org/0000-0002-9843-4629,,,Leading,,,,,wsiGoettingen,,"MB1,MB1B,MB1T"
Nonah M. Olesen,MB1,United States,University of Louisville,,,,,Leading,,,,,infantcoglabLouisville,,"MB1,MB1L"
Paula Fikkert,MB1,The Netherlands,Radboud University,,https://orcid.org/0000-0001-7317-2100,,,Leading,,,,,babylabNijmegen,,"MB1,MB1N"
Petra Bolitho,MB1,New Zealand,Victoria University of Wellington,,,,,Leading,,,,,babylabVUW,,MB1
Rebecca A. Lundwall,MB1,United States,Brigham Young University,,https://orcid.org/0000-0003-4036-9091,,,Leading,,,Leading,,cogdevlabBYU,,"MB1,MB1-Meta,MB5"
Rebecca L. A. Frost,MB1,United Kingdom,Edge Hill University,,https://orcid.org/0000-0002-5556-4466,,,Leading,,Leading,,,,,"MB1,MB5"
Rhodri Cusack,MB1,Ireland,Trinity College Dublin,,https://orcid.org/0000-0002-5234-7415,,,,Leading,,Leading,,,MB-AtHome Lead,"MB-AtHome,MB1"
Roberto J. Lazo,MB1,United States,University of Miami,,,,,Leading,,,,,,,"MB-AtHome,MB1"
Robin Panneton,MB1,United States,Virginia Tech,,https://orcid.org/0000-0001-6519-8319,Leading,,Leading,Leading,,,,ileap,,MB1
Ryan Blything,MB1,United Kingdom,University of Bristol,,https://orcid.org/0000-0003-2285-7219,,,,Leading,,,,,,MB1
Samantha Durrant,MB1,United Kingdom,University of Liverpool,,https://orcid.org/0000-0001-9720-0866,,,Leading,,,,,lllLiv,,"MB1,MB1B,MB1G,MB1L"
Sandra E. Trehub,MB1,Canada,University of Toronto Mississauga,,https://orcid.org/0000-0002-7940-1258,,,Leading,,,,,musdevUTM,,MB1
Sandra Waxman,MB1,United States,Northwestern University,,https://orcid.org/0000-0002-5009-2068,,,Leading,Leading,,,,pocdNorthwestern,,MB1
Sara Cordes,MB1,United States,Boston College,,https://orcid.org/0000-0003-3837-6188,,,Leading,,,,,icclBC,,MB1
Sara Parvanezadeh Esfahani,MB1,United States,"""University of Tennessee, Knoxville""",,https://orcid.org/0000-0003-4381-5624,,,Leading,,,,,,,MB1
