lab,ID,DOB,TestDate,age_days,A2,A3a,A3b,A4a,A4b,A5a,A5b,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22a,A22b,A23a,A23b,A23c,A23d,A24,A25a,A25b,A25c,A25d,A26a,A26b,A26c,A26d,A27a,A27b
Uganda,29.00,26-Oct-21,4-Nov-22,374d,F,F,,F,,F,,F,F,mother,F,2.00,1.00,5.00,20.00,0.00,7.00,1.00,2.00,1.00,5.00,20.00,0.00,0.00,2.00,Luganda,1.00,,,7.00,6.00,1.00,,,5.00,5.00,2.00,5.00,2.00,2.00
Uganda,30.00,20-Jul-21,4-Nov-22,472d,M,F,,F,,F,,F,F,mother,F,2.00,1.00,2.00,9.00,6.00,6.00,2.00,2.00,1.00,1.00,7.00,7.00,6.00,2.00,Luganda,1.00,,,10.00,8.00,2.00,,,1.00,4.00,1.00,5.00,1.00,1.00
Uganda,31.00,15-Sep-21,4-Nov-22,415d,F,F,,F,,F,,F,F,mother,F,2.00,2.00,1.00,7.00,2.00,6.00,2.00,2.00,3.00,1.00,7.00,2.00,1.00,2.00,Lunyankole,7.00,7.00,,7.00,4.00,3.00,1.00,,4.00,5.00,3.00,5.00,1.00,1.00
Uganda,32.00,31-Jan-22,4-Nov-22,277d,F,F,,F,,F,,F,F,mother,F,2.00,1.00,2.00,17.00,1.00,6.00,2.00,2.00,1.00,1.00,7.00,2.00,2.00,2.00,Luganda,6.00,,,10.00,7.00,2.00,,,5.00,1.00,2.00,5.00,1.00,4.00
Uganda,33.00,11-Dec-21,4-Nov-22,328d,F,F,,F,,F,,F,F,mother,F,1.00,4.00,3.00,18.00,1.00,1.00,1.00,2.00,2.00,3.00,18.00,4.00,5.00,3.00,Luganda,1.00,,,15.00,4.00,3.00,,,4.00,3.00,1.00,4.00,10.00,10.00
Uganda,34.00,30-Nov-21,4-Nov-22,339d,M,F,,F,,F,,F,F,mother,F,2.00,1.00,2.00,14.00,2.00,6.00,2.00,2.00,1.00,2.00,19.00,2.00,2.00,2.00,Luganda,,,,7.00,7.00,,,,5.00,5.00,2.00,5.00,1.00,2.00
Uganda,35.00,13-Jan-22,9-Dec-22,330d,F,F,,F,,F,,F,F,mother,F,2.00,1.00,1.00,0.00,4.00,7.00,1.00,2.00,1.00,1.00,7.00,0.00,4.00,3.00,Luganda,,,,8.00,8.00,,,,4.00,5.00,5.00,5.00,1.00,1.00
Uganda,37.00,22-Dec-21,9-Dec-22,352d,M,F,,F,,F,,F,F,mother,F,2.00,1.00,3.00,11.00,0.00,7.00,1.00,2.00,1.00,3.00,11.00,0.00,0.00,2.00,Luganda,,,,8.00,8.00,,,,1.00,5.00,5.00,4.00,1.00,1.00
Uganda,39.00,29-Sep-21,9-Dec-22,436d,F,F,,F,,F,,F,F,mother,F,2.00,1.00,2.00,15.00,2.00,7.00,1.00,2.00,1.00,2.00,15.00,2.00,2.00,2.00,Luganda,,,,9.00,9.00,,,,5.00,5.00,1.00,5.00,10.00,10.00
Uganda,40.00,1-Sep-21,9-Dec-22,464d,M,F,,F,,F,,F,F,grandparent,F,1.00,1.00,1.00,7.00,1.00,7.00,1.00,1.00,1.00,2.00,9.00,1.00,3.00,2.00,Luganda,1.00,,,9.00,7.00,2.00,,,1.00,4.00,1.00,5.00,1.00,2.00
